source,target,weight
이경재,이규철,6
이규철,이경순,3
김좌근,서대순,2
김대근,서대순,13
김병기,서대순,14
김대근,신관호,6
김대근,김학성,12
조두순,김병기,12
김병기,김대근,10
김병학,신관호,12
임태영,김병국,13
서대순,이돈영,12
김학성,김병국,9
조득림,서대순,14
이돈영,김병국,7
조득림,이경재,15
이돈영,신관호,6
김병학,김병국,4
김병기,임태영,15
신관호,조득림,12
민치구,김학성,5
정원용,조득림,15
서대순,김병학,4
조두순,이경순,5
윤치희,이경재,12
홍재철,정기세,13
홍재철,민치구,2
서대순,김병학,1
이돈영,홍재철,5
임태영,조득림,10
조득림,이돈영,3
김병교,김대근,6
민치구,이경재,15
홍종응,임태영,14
서대순,임태영,7
조두순,홍종응,15
이경재,민치구,11
이경재,김대근,15
정원용,임태영,10
서대순,신관호,14
김학성,이의익,3
정원용,김병기,4
윤치희,김좌근,15
홍종응,이돈영,12
서대순,이돈영,15
신관호,조득림,13
이유원,김병교,1
조득림,신관호,15
정기세,윤치희,13
정원용,이의익,10
임태영,홍종응,10
임태영,김병기,7
이돈영,이의익,4
이돈영,조두순,8
김병교,이규철,14
김병교,조득림,8
서대순,홍종응,8
김학성,임태영,13
윤치희,정기세,7
김학성,김병학,13
김병기,이경재,15
김병학,김병교,13
서대순,민치구,3
이경순,김병학,1
민치구,이규철,14
이돈영,홍재철,9
김대근,조득림,6
이유원,이돈영,3
김좌근,윤치희,4
조득림,홍종응,1
민치구,김병기,10
이의익,정기세,9
정기세,이경순,14
윤치희,홍재철,9
임태영,이최응,1
김병기,이규철,11
홍재철,임태영,13
김학성,임태영,2
윤치희,서대순,12
이돈영,김병기,3
