연번,도,고을,하위고을,본읍구분,호,구,번상군,유방군,수군,군정수
13,경기,광주목,,,1436,3110,122,0,263,385
14,경기,양주도호부,,,1481,2726,133,0,132,265
15,경기,수원도호부,,,1842,4926,197,0,405,602
16,경기,철원도호부,,,351,770,62,0,0,62
17,경기,부평도호부,,,429,954,20,0,128,148
18,충청도,충주목,,,1871,7452,440,0,465,905
19,충청도,청주목,,,1589,6738,230,203,475,908
20,충청도,공주목,,,2167,10049,78,203,699,980
21,충청도,홍주목,,,1379,6031,57,178,400,635
22,경상도,경주부,,본부,2332,9289,66,209,941,1216
27,경상도,안동대도호부,,본부,1887,7667,113,241,506,860
36,경상도,상주목,,본주,2521,6275,134,131,540,805
44,경상도,진주목,,본주,2220,7522,174,188,975,1337
48,전라도,전주부,,,1565,5829,77,178,826,1081
49,전라도,나주목,,,1089,4026,59,155,670,884
50,전라도,남원도호부,,,1300,4912,117,86,0,203
51,전라도,장흥도호부,,,276,1041,21,22,187,230
52,전라도,제주목,,,5207,8324,0,2066,0,2066
53,황해도,황주목,,,2034,5291,273,101,262,636
54,황해도,해주목,,,1926,6814,63,390,450,903
55,황해도,연안도호부,,,1583,3718,65,131,242,438
56,황해도,풍천군,,,339,992,0,74,40,114
57,강원도,강릉대도호부,,본부,1354,4539,165,0,250,415
60,강원도,원주목,,본주,1311,3513,284,0,82,366
62,강원도,회양도호부,,본부,411,1078,0,0,10,10
68,강원도,삼척도호부,,,581,2613,63,21,21,105
69,강원도,춘천도호부,,본부,1227,2201,298,0,134,432
71,강원도,간성군,,본군,332,567,72,11,140,223
73,평안도,평양부,,,8125,14440,736,3096,437,4269
74,평안도,안주목,,,2690,8567,150,538,194,882
75,평안도,의주목,,,531,1498,0,357,0,357
76,평안도,삭주도호부,,,222,394,0,233,20,253
77,평안도,강계도호부,,,604,4248,0,466,0,466
78,함길도,함흥부,,,3538,8913,0,736,150,886
79,함길도,영흥대도호부,,,2191,8524,0,704,121,825
80,함길도,안변도호부,,,1030,3997,0,308,150,458
81,함길도,길주목,,,1673,14819,0,557,0,557
82,함길도,경원도호부,,,1162,5271,0,762,0,762
83,함길도,회령도호부,,,624,2157,0,720,0,720
84,함길도,종성도호부,,,900,21815,0,736,0,736
85,함길도,온성도호부,,,800,3637,0,711,0,711
86,함길도,경흥도호부,,,402,5058,0,312,90,402
87,함길도,부녕도호부,,,262,2294,0,686,0,686
88,함길도,삼수군,,,113,348,0,113,0,113
89,경기,광주목,여흥도호부,,538,1144,75,0,121,196
90,경기,광주목,양근군,,388,1686,25,0,79,104
91,경기,광주목,음죽현,,390,1088,81,0,58,139
92,경기,광주목,이천현,,1026,3898,80,0,119,199
93,경기,광주목,과천현,,244,743,21,0,70,91
94,경기,광주목,천녕현,,413,1234,69,0,42,111
95,경기,광주목,지평현,,267,515,13,0,58,71
96,경기,광주목,금천현,,327,937,5,0,73,78
97,경기,양주도호부,원평도호부,,494,1316,17,0,26,43
98,경기,양주도호부,고양현,,679,1314,65,0,20,85
99,경기,양주도호부,교하현,,590,1629,64,0,43,107
100,경기,양주도호부,임진현,,274,613,2,0,16,18
101,경기,양주도호부,적성현,,212,380,21,0,14,35
102,경기,양주도호부,포천현,,371,1222,60,0,50,110
103,경기,양주도호부,가평현,,288,987,96,0,43,139
104,경기,수원도호부,남양도호부,,487,778,2,0,145,147
105,경기,수원도호부,안산군,,302,588,1,0,115,116
106,경기,수원도호부,안성군,,424,1763,92,0,129,221
107,경기,수원도호부,진위현,,221,535,10,0,51,61
108,경기,수원도호부,용인현,,457,1168,66,0,76,142
109,경기,수원도호부,양성현,,425,1210,76,0,68,144
110,경기,수원도호부,양지현,,346,609,37,0,68,105
111,경기,철원도호부,삭녕군,,233,722,61,0,37,98
112,경기,철원도호부,영평현,,138,419,33,0,37,70
113,경기,철원도호부,장단현,,170,467,4,0,11,15
114,경기,철원도호부,안협현,,140,410,8,0,10,18
115,경기,철원도호부,임강현,,364,878,33,0,35,68
116,경기,철원도호부,마전현,,146,484,13,0,26,39
117,경기,철원도호부,연천현,,186,360,23,0,21,44
118,경기,부평도호부,강화도호부,,2445,3283,2,0,474,476
119,경기,부평도호부,인천군,,357,1412,1,0,172,173
120,경기,부평도호부,해풍군,,792,1381,9,0,94,103
121,경기,부평도호부,김포현,,318,651,2,0,59,61
122,경기,부평도호부,양천현,,222,509,0,0,31,31
123,경기,부평도호부,교동현,,221,562,6,0,444,450
124,경기,부평도호부,통진현,,458,971,6,0,110,116
125,충청도,충주목,단양군,,235,724,26,0,26,52
126,충청도,충주목,청풍군,,191,656,26,0,21,47
127,충청도,충주목,괴산군,,445,1303,66,0,137,203
128,충청도,충주목,음성현,,171,726,33,0,46,79
129,충청도,충주목,연풍현,,143,341,20,0,13,33
130,충청도,충주목,제천현,,415,1235,93,0,70,163
131,충청도,충주목,영춘현,,195,582,27,0,15,42
132,충청도,청주목,천안군,,506,2385,14,6,203,223
133,충청도,청주목,옥천군,,558,1834,88,10,87,185
134,충청도,청주목,문의현,,353,1871,18,174,26,218
135,충청도,청주목,목천현,,404,2186,8,3,191,202
136,충청도,청주목,죽산현,,470,2118,28,0,135,163
137,충청도,청주목,청안현,,293,1419,90,50,48,188
138,충청도,청주목,전의현,,166,572,2,0,92,94
139,충청도,청주목,연기현,,348,1446,8,10,156,174
140,충청도,청주목,직산현,,553,2111,40,0,254,294
141,충청도,청주목,평택현,,179,704,8,3,78,89
142,충청도,청주목,온수현,,343,1516,21,0,96,117
