아이디,고을_한글,고을_한자,레벨,도,고을,한자,계수관id,계수관,호,구,번상군,유방군,수군,군정,侍衛軍,營鎭屬軍,鎭屬防牌,守城軍,守護軍,巡綽牌,烟臺軍,烽火軍,營屬軍,營鎭軍,翼屬軍,鎭屬軍,正軍,步軍,營軍,甲士,翼軍,鎭軍,防牌,馬軍,長番水軍,騎船軍,船軍,진군중_방패군,부령_갑사정군_원문합계,추정배분여부,추정배분근거,한자短,도短,admid_group,lon,lat,면적km2,한양거리km
wda_40009001,강원도 / 강릉대도호부,江原道 / 江陵大都護府,4.0,강원도,강릉대도호부,江陵大都護府,wda_40009001,강릉대도호부,1354,4539,165,0,250,415,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,,江陵,강원,강원_강릉,128.63175983745174,37.6573926709679,3007.9767934158444,149.36953636888666
wda_40009001_001,강원도 / 강릉대도호부 / 양양도호부,江原道 / 江陵大都護府 / 襄陽都護府,5.0,강원도,양양도호부,襄陽都護府,wda_40009001,강릉대도호부,982,1495,73,0,195,268,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,,襄陽,강원,강원_양양,128.5781723527459,38.01154546860948,826.269340775907,152.3847252840303
wda_40009001_002,강원도 / 강릉대도호부 / 정선군,江原道 / 江陵大都護府 / 旌善郡,5.0,강원도,정선군,旌善郡,wda_40009001,강릉대도호부,203,459,19,0,24,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,,旌善,강원,강원_정선,128.71063788934475,37.360650261266514,800.7041803747416,157.7735001399215
wda_40009001_003,강원도 / 강릉대도호부 / 평창군,江原道 / 江陵大都護府 / 平昌郡,5.0,강원도,평창군,平昌郡,wda_40009001,강릉대도호부,233,501,45,0,40,85,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,,平昌,강원,강원_평창,128.5043735365053,37.32176479766939,400.9314679540694,140.18088784004027
wda_40009002,강원도 / 원주목,江原道 / 原州牧,4.0,강원도,원주목,原州牧,wda_40009002,원주목,1311,3513,284,0,82,366,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,,原州,강원,강원_원주,127.97227741898504,37.32737695769694,1474.6407816261053,93.437309259943
wda_40009002_001,강원도 / 원주목 / 영월군,江原道 / 原州牧 / 寧越郡,5.0,강원도,영월군,寧越郡,wda_40009002,원주목,324,611,66,0,4,70,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,寧越,강원,강원_영월,128.55653708527933,37.17786751174983,816.5268650427461,148.58581585178402
wda_40009002_002,강원도 / 원주목 / 횡성현,江原道 / 原州牧 / 橫城縣,5.0,강원도,횡성현,橫城縣,wda_40009002,원주목,313,595,77,0,20,97,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,橫城,강원,강원_횡성,128.11287709344714,37.5307213452124,779.4052820988,102.37118169492123
wda_40009002_003,강원도 / 원주목 / 홍천현,江原道 / 原州牧 / 洪川縣,5.0,강원도,홍천현,洪川縣,wda_40009002,원주목,444,1211,155,0,65,220,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,,洪川,강원,강원_홍천,127.96803841141733,37.72354431992538,1348.0423050783577,90.93684781283248
wda_40009003,강원도 / 회양도호부,江原道 / 淮陽都護府,4.0,강원도,회양도호부,淮陽都護府,wda_40009003,회양도호부,411,1078,158,0,10,168,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,淮陽,강원,강원_회양,127.7806256039234,38.62546648531569,2326.214930318296,137.70271544934724
wda_40009003_001,강원도 / 회양도호부 / 금성현,江原道 / 淮陽都護府 / 金城縣,5.0,강원도,금성현,金城縣,wda_40009003,회양도호부,412,855,119,0,0,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,金城,강원,강원_금성,127.68093582951204,38.44476938320989,1095.099898520857,116.02118053957776
